"Reference","Qty","Value","Footprint","Datasheet"
"C1,C3,C5,C6","4","10u","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"C2","1","100u","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm",""
"C4,C7","2","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1,D4,D5,D6,D7","5","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2,D3","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D8,D9,D10,D11","4","LED","LIBRERIAS:LED_PCBasDiffuser",""
"J1,J3","2","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal",""
"J2","1","T_BLOCK","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"J4","1","JUMP6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J5","1","JUMP2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J7,J8","2","JUMP3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Q1","1","PN2222A","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R2","2","LDR","OptoDevice:R_LDR_5.0x4.1mm_P3mm_Vertical","http://www.elektronica-componenten.nl/WebRoot/StoreNL/Shops/61422969/54F1/BA0C/C664/31B9/2173/C0A8/2AB9/2AEF/LDR03IMP.pdf"
"R3,R4,R5,R6,R7,R8,R9,R10","8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1,RV2,RV3","3","100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"SW1,SW2,SW3","3","SW_SPDT","SWITCHES:SPST_ALIEXPRESS",""
"U1","1","40106","Package_DIP:DIP-14_W7.62mm_LongPads","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf"
"U2","1","L7805","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U4","1","L298N","Package_TO_SOT_THT:TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf"
